"id","q1","q2","q6_h","q6_m","q7_h","q7_m","q8_1","q8_2","q8_3","q8_4","q8_5","q8_6","q8_88","q8_88_text","q8_90","q9_1","q9_2","q9_3","q9_4","q9_5","q9_6","q9_7","q9_8","q9_88","q9_88_text","q9_90","q10_1","q10_2","q10_3","q10_4","q10_5","q10_6","q10_7","q10_8","q10_9","q10_10","q10_88","q10_88_text","q10_90","q11_1","q11_2","q11_3","q11_4","q11_5","q11_6","q11_7","q11_8","q11_88","q11_88_text","q16","q17_01","q17_02","q18","q19_01","q19_02","q21a_6","q21a_6_text","q22_01_1","q22_02_1","q22_03_1","q22_04_1","q22_05_1","q23_01_1","q23_02_1","q23_03_1","q23_04_1","q23_05_1","q25_01_1","q25_02_1","q25_03_1","q25_04_1","q26_01_1","q26_02_1","q26_03_1","q27_1","q28_1","q28_2","q28_3","q28_4","q28_4_text","q28_5","q29_1","q29_2","q29_3","q29_4","q29_5","q29_5_text","q37a"
"1060209",1,50,1,10,1,0,1,1,1,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,"",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"",2,NA,NA,2,NA,NA,1,"已讀",1,1,1,1,1,1,1,1,1,1,3,3,3,3,1,1,1,4,1,1,NA,NA,"",NA,NA,NA,NA,1,NA,"",5
"1060220",2,79,8,0,4,0,1,1,1,1,1,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,"",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"",2,NA,NA,2,NA,NA,1,"已讀",4,4,4,4,4,1,1,1,1,1,1,1,1,1,4,4,4,4,NA,1,NA,NA,"",NA,1,NA,NA,1,NA,"",5
"1060228",2,56,1,30,7,0,1,1,1,1,1,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,"",NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,1,1,NA,NA,NA,NA,NA,NA,NA,"",2,NA,NA,2,NA,NA,1,"已讀",3,2,2,2,2,1,1,1,1,1,1,1,4,3,3,3,3,4,1,NA,NA,NA,"",NA,NA,NA,NA,1,NA,"",5
"1080110",1,46,2,30,3,0,1,1,1,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,"",NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"",2,NA,NA,2,NA,NA,1,"已讀",3,3,3,3,4,1,1,1,2,2,2,2,4,3,4,4,3,4,1,1,1,NA,"",NA,1,1,NA,1,NA,"",5
"1080155",2,73,5,0,4,30,NA,1,1,1,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,"",NA,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,"",NA,1,1,NA,NA,NA,NA,NA,1,NA,"",2,NA,NA,2,NA,NA,1,"已讀",4,4,4,3,4,2,2,2,1,2,4,4,4,3,2,3,2,3,1,NA,NA,NA,"",NA,1,NA,NA,1,NA,"",5
"1080223",2,68,3,21,4,0,1,1,1,1,1,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,"",NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,"",NA,1,NA,1,NA,NA,NA,NA,NA,NA,"",1,1,1,2,NA,NA,1,"已讀",3,3,3,3,3,1,2,1,1,2,2,2,3,2,3,3,3,4,1,1,NA,NA,"",NA,1,NA,NA,1,NA,"",5
"1110122",1,55,5,0,1,0,1,1,1,1,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",1,1,NA,NA,NA,NA,NA,NA,NA,NA,"",2,NA,NA,2,NA,NA,1,"已讀",2,2,2,2,2,1,2,2,1,2,1,1,1,1,2,2,2,4,NA,NA,NA,NA,"",1,NA,NA,NA,NA,NA,"",5
"1110250",1,65,1,0,4,3,1,1,1,1,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"",2,NA,NA,2,NA,NA,1,"已讀",4,4,4,3,4,1,2,2,1,1,2,2,1,1,4,4,4,4,NA,1,NA,NA,"",NA,1,NA,NA,1,NA,"",5
"1120110",1,76,8,0,1,45,1,1,1,1,1,1,NA,NA,NA,1,1,1,NA,NA,1,NA,NA,NA,"",NA,1,1,1,1,NA,NA,NA,1,NA,NA,NA,"",NA,1,NA,1,NA,1,NA,NA,NA,NA,"",2,NA,NA,2,NA,NA,1,"已讀",3,3,4,3,4,1,2,1,2,2,2,2,3,2,4,4,4,3,1,NA,NA,NA,"",NA,1,NA,NA,1,NA,"",5
"1120112",2,79,6,0,3,0,1,1,1,1,1,1,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,"",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"",2,NA,NA,2,NA,NA,1,"已讀",2,2,2,3,3,1,1,1,1,1,3,3,1,1,3,3,3,1,NA,NA,NA,NA,"",1,NA,NA,NA,NA,NA,"",5
"1120136",2,69,9,30,2,0,1,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,NA,NA,"",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"",2,NA,NA,2,NA,NA,1,"已讀",3,4,4,3,4,1,1,1,1,1,2,2,1,2,4,3,3,2,NA,1,NA,NA,"",NA,1,NA,NA,1,NA,"",5
"1140118",2,74,7,0,3,0,1,1,1,1,1,1,NA,NA,NA,1,1,NA,NA,NA,1,NA,NA,NA,"",NA,1,1,NA,NA,NA,NA,NA,1,1,NA,NA,"",NA,1,1,NA,NA,NA,NA,NA,NA,NA,"",2,NA,NA,2,NA,NA,1,"已讀",4,4,4,4,4,1,1,1,1,1,1,1,1,1,4,4,4,2,NA,NA,NA,NA,"",1,NA,NA,NA,NA,NA,"",5
"1140203",2,73,8,0,7,0,1,1,1,1,1,1,NA,NA,NA,1,1,NA,NA,NA,1,NA,NA,NA,"",NA,1,1,1,NA,NA,NA,NA,1,1,NA,NA,"",NA,1,1,1,NA,NA,1,1,1,NA,"",2,NA,NA,2,NA,NA,1,"已讀",4,4,4,4,4,1,1,2,1,1,2,2,4,4,3,3,3,4,1,1,NA,NA,"",NA,1,NA,NA,1,NA,"",5
"1140232",2,64,7,0,4,0,1,1,1,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,"",NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,"",NA,1,NA,1,1,1,NA,NA,NA,NA,"",2,NA,NA,2,NA,NA,1,"已讀",3,3,3,3,4,1,2,1,1,1,2,2,3,3,4,4,4,4,NA,1,NA,NA,"",NA,NA,NA,NA,1,NA,"",5
"1140241",1,87,3,0,2,30,1,1,1,1,1,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,1,NA,"",NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,1,NA,1,NA,NA,NA,NA,NA,NA,"",1,1,2,2,NA,NA,1,"已讀",3,3,2,4,4,2,1,1,1,1,1,1,2,2,3,3,3,4,NA,1,NA,NA,"",NA,NA,NA,NA,1,1,"錯誤資訊",5
"1140245",2,76,6,0,3,0,1,1,1,1,1,1,NA,NA,NA,1,1,NA,NA,NA,1,NA,NA,NA,"",NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,"",NA,1,NA,1,1,NA,NA,NA,NA,NA,"",2,NA,NA,2,NA,NA,1,"已讀",4,4,4,4,4,2,1,2,1,2,3,3,3,3,4,4,4,3,1,NA,NA,NA,"",NA,NA,1,NA,NA,NA,"",5
"1140259",1,71,7,30,2,0,1,1,1,1,1,1,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,"",NA,1,1,NA,1,NA,NA,NA,1,1,NA,NA,"",NA,1,NA,1,NA,NA,NA,NA,NA,NA,"",2,NA,NA,2,NA,NA,1,"已讀",4,4,4,4,4,1,2,2,2,2,2,2,4,2,4,4,4,4,1,1,NA,NA,"",NA,1,1,NA,1,NA,"",5
"1150115",2,52,0,0,1,0,1,1,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",1,1,NA,NA,NA,NA,NA,NA,NA,NA,"",2,NA,NA,2,NA,NA,1,"已讀",3,2,2,2,2,1,1,1,1,1,1,2,1,1,2,2,2,3,NA,1,NA,NA,"",NA,NA,1,1,1,NA,"",5
"1150146",2,78,7,0,5,0,1,1,1,NA,1,1,NA,NA,NA,1,1,NA,NA,NA,1,NA,NA,NA,"",NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,"",NA,1,NA,1,NA,NA,NA,NA,NA,NA,"",2,NA,NA,2,NA,NA,1,"已讀",3,4,4,2,2,1,2,1,2,2,3,4,3,4,3,3,4,5,1,1,NA,NA,"",NA,1,1,1,1,NA,"",5
"1150208",2,87,3,0,2,0,1,1,1,1,1,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,1,NA,"",NA,1,1,NA,NA,NA,NA,NA,1,1,1,NA,"",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"",2,NA,NA,2,NA,NA,1,"已讀",4,3,4,3,3,1,1,1,1,1,2,3,4,3,3,3,3,2,NA,NA,NA,NA,"",1,NA,NA,NA,NA,NA,"",5
"1150228",2,78,10,59,5,0,1,1,NA,NA,1,1,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,"",NA,1,1,NA,NA,1,NA,1,NA,NA,NA,NA,"",NA,1,NA,1,NA,NA,NA,NA,NA,NA,"",1,1,1,2,NA,NA,1,"已讀",3,3,3,2,4,2,2,2,3,4,3,3,3,3,3,3,3,3,1,1,NA,NA,"",NA,1,1,NA,1,NA,"",5
"1150233",2,84,10,0,2,0,1,1,1,1,1,1,NA,NA,NA,1,1,NA,NA,NA,1,NA,NA,NA,"",NA,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,"",NA,1,NA,NA,NA,1,NA,NA,NA,NA,"",2,NA,NA,2,NA,NA,1,"已讀",3,3,3,2,3,2,1,2,1,2,2,2,4,2,3,3,3,2,NA,NA,NA,NA,"",1,NA,NA,NA,NA,NA,"",5
"1150235",2,39,0,0,4,0,1,1,1,1,1,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,1,NA,"",NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,1,NA,NA,NA,1,NA,NA,NA,NA,"",2,NA,NA,2,NA,NA,1,"已讀",3,3,3,3,3,2,2,2,2,2,4,4,4,4,3,3,3,4,NA,1,NA,NA,"",NA,NA,1,NA,1,NA,"",5
"1150249",2,79,5,0,5,0,1,NA,NA,1,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,NA,NA,"",NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,1,NA,1,NA,NA,NA,NA,NA,NA,"",2,NA,NA,2,NA,NA,1,"已讀",2,3,3,2,4,1,1,1,1,1,2,1,2,2,4,4,4,4,1,NA,NA,NA,"",NA,NA,1,NA,1,NA,"",5
"1150253",1,73,6,30,3,0,1,1,1,1,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,1,NA,1,NA,NA,NA,NA,NA,NA,"",1,2,1,2,NA,NA,1,"已讀",3,3,3,3,3,1,1,1,1,1,3,3,1,1,4,3,3,3,NA,1,1,NA,"",NA,NA,NA,NA,1,NA,"",5
"1160103",1,75,3,0,3,0,1,1,1,1,NA,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,"",NA,1,1,NA,NA,NA,NA,NA,1,1,NA,NA,"",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"",1,1,1,2,NA,NA,1,"已讀",3,3,4,3,4,2,1,1,1,1,5,5,5,5,3,3,3,3,NA,1,NA,NA,"",NA,1,NA,NA,NA,NA,"",5
"1160137",1,78,4,30,8,0,1,1,1,1,NA,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,1,"Discord",NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,"",NA,1,NA,NA,NA,NA,NA,1,NA,1,"bilibili",1,1,1,2,NA,NA,1,"已讀",4,4,4,4,4,3,2,2,2,3,3,3,3,3,4,4,4,5,NA,1,NA,NA,"",NA,1,1,NA,1,NA,"",5
"1160140",1,59,11,30,1,30,1,1,1,1,1,1,NA,NA,NA,1,NA,1,NA,NA,1,NA,NA,NA,"",NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,"",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"",2,NA,NA,2,NA,NA,1,"已讀",2,3,3,2,3,1,1,1,1,2,1,1,1,1,3,4,3,2,NA,NA,NA,NA,"",1,NA,NA,NA,NA,NA,"",5
"1160145",1,86,0,0,12,0,1,1,1,1,1,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,"",NA,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,"",NA,1,1,1,NA,NA,NA,NA,1,NA,"",2,NA,NA,2,NA,NA,1,"已讀",4,4,4,3,4,1,1,1,1,1,5,3,5,3,4,4,4,5,NA,1,NA,NA,"",NA,NA,NA,NA,1,NA,"",5
"1160189",1,85,3,30,4,0,1,1,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",1,1,NA,NA,NA,1,NA,NA,NA,NA,"",1,1,1,2,NA,NA,1,"已讀",4,3,3,2,4,1,3,1,1,1,5,1,5,1,2,2,2,3,NA,NA,NA,1,"會破壞我對他（她）的形象",NA,NA,NA,NA,1,NA,"",5
"1160232",2,67,4,0,2,30,1,1,1,1,1,1,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,"",NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,1,1,NA,NA,NA,NA,NA,NA,NA,"",2,NA,NA,2,NA,NA,1,"已讀",3,3,3,3,2,1,3,2,1,1,2,2,1,1,3,3,3,3,NA,NA,NA,NA,"",1,NA,NA,NA,NA,NA,"",5
"1160272",2,86,6,30,3,0,1,1,1,1,1,1,NA,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,"",NA,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,"",NA,1,NA,1,NA,NA,NA,NA,NA,NA,"",2,NA,NA,2,NA,NA,1,"已讀",3,3,3,3,4,1,1,1,1,1,3,2,2,3,3,3,3,4,1,1,NA,NA,"",NA,1,NA,NA,1,NA,"",5
"2020223",2,66,3,0,3,0,1,1,1,1,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,"",NA,1,NA,1,NA,1,NA,NA,NA,NA,"",2,NA,NA,2,NA,NA,1,"已讀",4,2,3,3,3,1,1,1,1,2,3,3,3,3,2,3,3,4,1,1,NA,NA,"",NA,1,1,NA,1,NA,"",5
"2200121",2,66,6,0,3,0,1,1,1,1,1,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,"",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,1,NA,1,NA,NA,NA,NA,NA,NA,"",2,NA,NA,2,NA,NA,1,"已讀",3,3,3,3,3,1,1,1,1,2,4,4,5,5,4,4,4,4,1,1,NA,NA,"",NA,NA,NA,NA,1,NA,"",5
"2200124",1,73,0,0,8,0,1,1,1,1,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,"",NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,1,NA,NA,NA,1,1,NA,NA,NA,"",2,NA,NA,2,NA,NA,1,"已讀",2,2,2,2,2,2,2,2,1,1,1,1,3,3,2,2,2,3,NA,NA,NA,NA,"",1,NA,NA,NA,NA,NA,"",5
"2200131",2,81,10,0,5,0,1,1,1,1,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,"",NA,1,NA,1,NA,NA,NA,NA,NA,NA,"",2,NA,NA,2,NA,NA,1,"已讀",3,3,3,2,3,2,2,3,1,2,2,2,2,3,3,3,3,3,1,1,NA,NA,"",NA,1,NA,NA,1,NA,"",5
"2200133",2,89,1,0,6,0,1,1,1,1,1,1,NA,NA,NA,1,1,1,1,NA,NA,1,NA,NA,"",NA,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,"",NA,1,NA,1,NA,1,NA,NA,NA,NA,"",2,NA,NA,2,NA,NA,1,"已讀",3,3,3,3,3,2,1,1,2,1,2,2,2,2,4,2,3,3,1,NA,NA,NA,"",NA,1,NA,NA,1,NA,"",5
"2200168",1,79,4,0,5,0,1,1,1,1,1,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,"",NA,1,1,1,NA,NA,NA,NA,1,1,NA,NA,"",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"",2,NA,NA,2,NA,NA,1,"已讀",4,4,4,4,4,2,2,1,1,2,2,2,3,3,4,4,4,2,NA,NA,NA,NA,"",1,NA,NA,NA,NA,NA,"",5
"2200172",2,77,5,30,8,0,1,1,1,1,1,1,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,"",NA,1,1,NA,NA,1,NA,1,1,1,NA,NA,"",NA,1,1,NA,NA,NA,NA,1,NA,NA,"",1,2,1,2,NA,NA,1,"已讀",3,3,2,3,3,2,2,1,1,2,4,3,1,1,3,3,3,3,1,1,NA,NA,"",NA,1,NA,NA,1,NA,"",5
"2200223",2,62,13,0,2,30,1,1,1,1,1,1,NA,NA,NA,1,1,1,1,NA,1,1,1,1,"Microsoft Teams",NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"",2,NA,NA,2,NA,NA,1,"已讀",4,4,4,3,4,1,1,1,1,2,4,4,3,3,4,4,4,5,1,1,NA,NA,"",NA,1,NA,NA,1,NA,"",5
"2200224",2,63,1,0,5,0,1,1,1,1,1,1,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,"",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"",2,NA,NA,2,NA,NA,1,"已讀",3,2,3,2,3,1,1,1,1,1,1,2,2,2,4,4,4,2,1,NA,NA,NA,"",NA,NA,NA,NA,1,NA,"",5
"2200235",2,74,9,30,6,0,1,1,1,1,1,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,"",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,1,1,1,NA,NA,NA,NA,NA,NA,"",2,NA,NA,2,NA,NA,1,"已讀",3,3,3,3,4,1,1,1,1,2,4,4,4,4,3,3,3,5,NA,1,NA,NA,"",NA,1,1,1,1,NA,"",5
"2200237",2,60,2,0,4,0,1,1,1,1,1,1,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,"",NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"",2,NA,NA,2,NA,NA,1,"已讀",3,3,3,2,4,1,1,1,1,2,1,1,2,2,4,4,4,4,NA,1,NA,NA,"",NA,NA,NA,NA,1,NA,"",5
"2200259",2,67,0,0,12,0,1,1,1,1,1,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,"",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"",2,NA,NA,2,NA,NA,1,"已讀",2,2,3,3,3,1,2,1,1,1,2,1,3,1,4,4,3,4,1,1,NA,NA,"",NA,NA,NA,1,1,NA,"",5
"2210135",2,84,8,0,3,0,1,1,1,1,1,1,NA,NA,NA,1,1,NA,NA,NA,1,NA,1,NA,"",NA,1,1,NA,1,NA,NA,NA,1,1,NA,NA,"",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"",2,NA,NA,2,NA,NA,1,"已讀",2,3,3,3,3,1,2,1,1,1,2,2,2,2,3,3,3,4,1,1,NA,NA,"",NA,1,1,NA,1,NA,"",5
"2210139",2,79,6,0,3,0,1,1,1,NA,1,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,1,"QQ",NA,1,1,NA,NA,NA,1,NA,1,NA,1,NA,"",NA,1,NA,1,NA,NA,NA,NA,NA,NA,"",2,NA,NA,2,NA,NA,1,"已讀",4,4,4,4,4,2,2,2,1,1,2,2,3,3,4,4,4,5,1,1,NA,NA,"",NA,1,NA,NA,1,NA,"",5
